Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,12:00,27.5,1.6,223.9,1011.5,21.0,90.0,2.1,0.0,67.7,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,13:00,28.1,1.4,223.9,1010.6,22.6,100.0,3.1,0.0,72.4,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,14:00,27.9,1.0,217.7,1009.8,22.6,90.0,2.0,40.0,72.9,Nublado - Tormenta Ligera
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,15:00,27.5,0.8,258.3,1009.2,21.8,90.0,1.0,0.0,71.0,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,16:00,27.0,0.9,332.2,1008.9,21.5,90.0,0.0,0.0,71.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,17:00,26.9,1.3,308.9,1009.0,25.1,90.0,0.0,0.0,89.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,18:00,26.2,1.4,284.8,1009.6,24.6,90.0,0.0,0.0,90.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,19:00,25.1,0.9,254.4,1010.7,23.9,90.0,0.0,0.0,93.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,20:00,24.5,0.8,190.5,1011.4,23.6,90.0,0.0,0.0,94.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,21:00,24.3,0.9,157.7,1012.1,23.4,90.0,0.0,0.0,95.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,22:00,24.1,0.9,169.4,1012.7,23.3,90.0,0.0,0.0,95.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-30,23:00,23.8,1.2,183.9,1012.8,23.0,90.0,0.0,0.0,95.2,Nublado
